,const,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
q10,40.526871574591496,0.003565095893733883,-0.03570579862611112,0.05392413342809732,-0.00788730693227535,-1.0263255637455586,-1.4639527050530887,0.21100941765416792,0.05563389493568138,2.1362496860310785,0.10723980971306446,0.006914904330074023,-0.6403845512754742,-0.029685586257755858,0.04631949474810426,-0.18856044490348722,-0.2789130298588134,-0.10706919707573093,-0.0007483097078306855,-0.5188802573084104,-0.09657572883452303,-1.1790979313332173,-0.006928909698899588
q50,44.37103200750062,0.00280286188197465,-0.007343744028503352,0.06421988190902539,-0.047850027106960624,-0.1968131687863206,-0.5325590925858705,0.1801430248513043,0.06257337226179516,1.7440225725977143,0.7727121675834496,0.013727927193940559,-0.42236973670969746,-0.007196428958650358,0.07780740364614758,0.046561051607568515,-0.4576512856174304,-0.11273331764709837,-0.0018087570223315197,-0.3486688597349712,-0.0324393203281943,-1.087610557424341,-0.023353088159069557
q90,52.492953020911955,0.0002857361551491522,0.004082518035716021,0.06615894038071701,-0.06495949700638448,-0.3307203357730941,-0.2504142664183746,0.17622945769994658,0.04241095814950313,1.199708257748199,0.787497288070881,0.03452183603621961,-0.2886948428604228,-0.0018614737301163586,0.03893664289262233,-0.10642702663608361,-0.0842695812752936,-0.12186227849787201,-0.001248791013040318,-0.3259991296399676,-0.14681704522627115,-0.736895470698073,-0.016210370147064168
